,Ticker,Tipo,SgmtNm,TckrSymb,Validade,Strike,TradQty
3078,BBAS3,EURO,EQUITY PUT,BBASS24,2020-07-20,24.06,8
3080,BBAS3,EURO,EQUITY PUT,BBASS25,2020-07-20,25.06,9
3081,BBAS3,EURO,EQUITY PUT,BBASS26,2020-07-20,26.06,7
3082,BBAS3,EURO,EQUITY PUT,BBASS27,2020-07-20,27.06,25
3083,BBAS3,EURO,EQUITY PUT,BBASS278,2020-07-20,27.81,5
3084,BBAS3,EURO,EQUITY PUT,BBASS280,2020-07-20,28.06,32
3085,BBAS3,EURO,EQUITY PUT,BBASS283,2020-07-20,28.31,12
3086,BBAS3,EURO,EQUITY PUT,BBASS288,2020-07-20,28.81,10
3087,BBAS3,EURO,EQUITY PUT,BBASS29,2020-07-20,29.06,882
3088,BBAS3,EURO,EQUITY PUT,BBASS293,2020-07-20,29.31,14
3089,BBAS3,EURO,EQUITY PUT,BBASS298,2020-07-20,29.81,10
3090,BBAS3,EURO,EQUITY PUT,BBASS30,2020-07-20,30.06,28
3091,BBAS3,EURO,EQUITY PUT,BBASS303,2020-07-20,30.31,13
3092,BBAS3,EURO,EQUITY PUT,BBASS305,2020-07-20,30.56,25
3093,BBAS3,EURO,EQUITY PUT,BBASS308,2020-07-20,30.81,10
3094,BBAS3,EURO,EQUITY PUT,BBASS310,2020-07-20,31.06,17
3095,BBAS3,EURO,EQUITY PUT,BBASS313,2020-07-20,31.31,2
3096,BBAS3,EURO,EQUITY PUT,BBASS318,2020-07-20,31.81,14
3097,BBAS3,EURO,EQUITY PUT,BBASS32,2020-07-20,32.06,58
3098,BBAS3,EURO,EQUITY PUT,BBASS323,2020-07-20,32.31,10
3099,BBAS3,EURO,EQUITY PUT,BBASS325,2020-07-20,32.56,17
3100,BBAS3,EURO,EQUITY PUT,BBASS328,2020-07-20,32.81,15
3101,BBAS3,EURO,EQUITY PUT,BBASS330,2020-07-20,33.06,19
3102,BBAS3,EURO,EQUITY PUT,BBASS333,2020-07-20,33.31,4
3103,BBAS3,EURO,EQUITY PUT,BBASS335,2020-07-20,33.56,3
3104,BBAS3,EURO,EQUITY PUT,BBASS338,2020-07-20,33.81,7
3105,BBAS3,EURO,EQUITY PUT,BBASS340,2020-07-20,34.06,9
3107,BBAS3,EURO,EQUITY PUT,BBASS345,2020-07-20,34.56,3
3108,BBAS3,EURO,EQUITY PUT,BBASS348,2020-07-20,34.81,3
3109,BBAS3,EURO,EQUITY PUT,BBASS350,2020-07-20,35.06,3
3110,BBAS3,EURO,EQUITY PUT,BBASS353,2020-07-20,35.31,1
3111,BBAS3,EURO,EQUITY PUT,BBASS355,2020-07-20,35.56,2
3113,BBAS3,EURO,EQUITY PUT,BBASS360,2020-07-20,36.06,1
3117,BBAS3,EURO,EQUITY PUT,BBASS370,2020-07-20,37.06,3
3136,BBAS3,EURO,EQUITY PUT,BBASS458,2020-07-20,44.31,1
3152,BBAS3,EURO,EQUITY PUT,BBASS53,2020-07-20,23.56,2
3158,BBAS3,EURO,EQUITY PUT,BBASS56,2020-07-20,26.56,6
3160,BBAS3,EURO,EQUITY PUT,BBASS57,2020-07-20,27.56,4
3161,BBAS3,EURO,EQUITY PUT,BBASS58,2020-07-20,28.56,4
3163,BBAS3,EURO,EQUITY PUT,BBASS59,2020-07-20,29.56,3
3167,BBAS3,EURO,EQUITY PUT,BBAST245,2020-08-17,24.53,41
3175,BBAS3,EURO,EQUITY PUT,BBAST280,2020-08-17,28.03,1
3176,BBAS3,EURO,EQUITY PUT,BBAST282,2020-08-17,28.28,4
3179,BBAS3,EURO,EQUITY PUT,BBAST290,2020-08-17,29.03,15
3181,BBAS3,EURO,EQUITY PUT,BBAST295,2020-08-17,29.53,5
3182,BBAS3,EURO,EQUITY PUT,BBAST297,2020-08-17,29.78,2
3183,BBAS3,EURO,EQUITY PUT,BBAST299,2020-08-17,30.03,7
3186,BBAS3,EURO,EQUITY PUT,BBAST305,2020-08-17,30.53,1
3187,BBAS3,EURO,EQUITY PUT,BBAST307,2020-08-17,30.78,5
3190,BBAS3,EURO,EQUITY PUT,BBAST315,2020-08-17,31.53,5
3191,BBAS3,EURO,EQUITY PUT,BBAST317,2020-08-17,31.78,1
3195,BBAS3,EURO,EQUITY PUT,BBAST327,2020-08-17,32.78,7
3198,BBAS3,EURO,EQUITY PUT,BBAST335,2020-08-17,33.53,2
3199,BBAS3,EURO,EQUITY PUT,BBAST337,2020-08-17,33.78,7
3203,BBAS3,EURO,EQUITY PUT,BBAST347,2020-08-17,34.78,2
3207,BBAS3,EURO,EQUITY PUT,BBAST357,2020-08-17,35.78,2
3210,BBAS3,EURO,EQUITY PUT,BBAST370,2020-08-17,37.03,3
3266,BBAS3,EURO,EQUITY PUT,BBASU297,2020-09-21,29.79,2
3270,BBAS3,EURO,EQUITY PUT,BBASU307,2020-09-21,30.79,1
3275,BBAS3,EURO,EQUITY PUT,BBASU322,2020-09-21,32.29,1
3277,BBAS3,EURO,EQUITY PUT,BBASU327,2020-09-21,32.79,3
