,RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
1884,6/29/2020,AZULH230,BRAZUL4H01B3,EQUITY CALL,"1,85","2,4","2,28","2,4",,"1,52",3,4500,23,AZUL4,8/17/2020,AMER,0
1885,6/29/2020,AZULH242,BRAZUL4H0179,EQUITY CALL,"1,17","1,5","1,47","1,5",,"1,23",2,1100,24.25,AZUL4,8/17/2020,EURO,0
1886,6/29/2020,AZULH265,BRAZUL4H0195,EQUITY CALL,"1,6","1,87","1,73","1,87",,"0,91",2,200,26.5,AZUL4,8/17/2020,AMER,0
1921,6/29/2020,AZULM600,BRAZUL4M00M2,EQUITY PUT,"38,94","38,94","38,94","38,94",,"39,58",1,12000,60,AZUL4,1/18/2021,EURO,0
1924,6/29/2020,AZULS215,BRAZUL4S00O5,EQUITY PUT,"2,51","3,23","2,77","2,6",,2,6,2800,21.5,AZUL4,7/20/2020,EURO,0
1928,6/29/2020,AZULS40,BRAZUL4S00H9,EQUITY PUT,"0,05","0,05","0,05","0,05",,"0,02",4,9600,10.5,AZUL4,7/20/2020,EURO,0
1929,6/29/2020,AZULS46,BRAZUL4S00I7,EQUITY PUT,"0,45","0,8","0,6","0,5",,"0,35",36,24000,16.5,AZUL4,7/20/2020,EURO,0
1930,6/29/2020,AZULS52,BRAZUL4S00J5,EQUITY PUT,"3,4",4,"3,97","3,4",,"2,68",5,2300,22.5,AZUL4,7/20/2020,EURO,0
1936,6/29/2020,AZULT152,BRAZUL4T0134,EQUITY PUT,"0,79","0,92","0,84","0,86",,"0,47",17,1900,15.25,AZUL4,8/17/2020,EURO,0
1939,6/29/2020,AZULT220,BRAZUL4T0167,EQUITY PUT,"3,68","3,68","3,68","3,68",,"3,02",2,200,22,AZUL4,8/17/2020,EURO,0
1985,6/29/2020,B3SAG15,BRB3SA3G0386,EQUITY CALL,"8,36","8,36","8,36","8,36",,"9,63",1,300,45.56,B3SA3,7/20/2020,AMER,55.35
2012,6/29/2020,B3SAG401,BRB3SA3G02N8,EQUITY CALL,"15,08","15,08","15,08","15,08",,"15,46",1,100,39.56,B3SA3,7/20/2020,AMER,55.35
2023,6/29/2020,B3SAG47,BRB3SA3G03F2,EQUITY CALL,7,7,7,7,,"8,23",2,2200,47.06,B3SA3,7/20/2020,AMER,55.35
2027,6/29/2020,B3SAG495,BRB3SA3G03X5,EQUITY CALL,"5,05","5,5","5,17","5,5",,6,3,3900,49.56,B3SA3,7/20/2020,AMER,55.35
2029,6/29/2020,B3SAG500,BRB3SA3G0428,EQUITY CALL,"4,75","6,01","4,86","6,01",,"5,58",2,3300,50.06,B3SA3,7/20/2020,AMER,55.35
2030,6/29/2020,B3SAG510,BRB3SA3G0402,EQUITY CALL,"4,36","4,4","4,36","4,4",,"4,77",2,10200,51.06,B3SA3,7/20/2020,AMER,55.35
2031,6/29/2020,B3SAG511,BRB3SA3G02O6,EQUITY CALL,"4,15","4,15","4,15","4,15",,"5,17",1,100,50.56,B3SA3,7/20/2020,EURO,55.35
2032,6/29/2020,B3SAG515,BRB3SA3G03Y3,EQUITY CALL,"4,59","4,59","4,59","4,59",,"4,38",1,300,51.56,B3SA3,7/20/2020,EURO,55.35
2033,6/29/2020,B3SAG520,BRB3SA3G03Z0,EQUITY CALL,"3,39","3,84","3,69","3,84",,"4,01",25,12000,52.06,B3SA3,7/20/2020,AMER,55.35
2034,6/29/2020,B3SAG525,BRB3SA3G0485,EQUITY CALL,"2,93","3,46","3,22","3,46",,"3,65",4,19200,52.56,B3SA3,7/20/2020,EURO,55.35
2035,6/29/2020,B3SAG530,BRB3SA3G0410,EQUITY CALL,"2,54","3,25","2,76","3,05",,"3,3",29,141500,53.06,B3SA3,7/20/2020,AMER,55.35
2036,6/29/2020,B3SAG540,BRB3SA3G04D5,EQUITY CALL,"1,91","2,64","2,11","2,38",,"2,67",23,80900,54.06,B3SA3,7/20/2020,AMER,55.35
2037,6/29/2020,B3SAG544,BRB3SA3G04F0,EQUITY CALL,"1,83","2,18","2,07","2,18",,"2,38",5,2900,54.56,B3SA3,7/20/2020,EURO,55.35
2038,6/29/2020,B3SAG545,BRB3SA3G02J6,EQUITY CALL,"2,35","2,9","2,51","2,62",,"2,98",21,24200,53.56,B3SA3,7/20/2020,EURO,55.35
2039,6/29/2020,B3SAG550,BRB3SA3G0477,EQUITY CALL,"1,51","2,11","1,73","1,9",,"2,11",61,131000,55.06,B3SA3,7/20/2020,AMER,55.35
2040,6/29/2020,B3SAG555,BRB3SA3G0436,EQUITY CALL,"1,48","1,8","1,67","1,55",,"1,86",7,13500,55.56,B3SA3,7/20/2020,EURO,55.35
2041,6/29/2020,B3SAG560,BRB3SA3G0469,EQUITY CALL,"1,11","1,62","1,27","1,44",,"1,63",174,184700,56.06,B3SA3,7/20/2020,AMER,55.35
2042,6/29/2020,B3SAG565,BRB3SA3G0493,EQUITY CALL,"1,18","1,18","1,18","1,18",,"1,42",1,100,56.56,B3SA3,7/20/2020,EURO,55.35
2043,6/29/2020,B3SAG570,BRB3SA3G04C7,EQUITY CALL,"0,86","1,16","1,01","1,1",,"1,23",29,122300,57.06,B3SA3,7/20/2020,AMER,55.35
2044,6/29/2020,B3SAG575,BRB3SA3G04A1,EQUITY CALL,"0,75","1,05","0,82","0,9",,"1,06",11,57300,57.56,B3SA3,7/20/2020,EURO,55.35
2045,6/29/2020,B3SAG580,BRB3SA3G04I4,EQUITY CALL,"0,71","0,9","0,79","0,8",,"0,91",13,17700,58.06,B3SA3,7/20/2020,AMER,55.35
2046,6/29/2020,B3SAG590,BRB3SA3G04G8,EQUITY CALL,"0,44","0,62","0,5","0,58",,"0,65",14,51200,59.06,B3SA3,7/20/2020,AMER,55.35
2048,6/29/2020,B3SAG600,BRB3SA3G04H6,EQUITY CALL,"0,34","0,45","0,37","0,34",,"0,45",7,14700,60.06,B3SA3,7/20/2020,AMER,55.35
2049,6/29/2020,B3SAG610,BRB3SA3G04J2,EQUITY CALL,"0,21","0,3","0,27","0,26",,"0,31",8,5800,61.06,B3SA3,7/20/2020,AMER,55.35
2052,6/29/2020,B3SAG9,BRB3SA3G03K2,EQUITY CALL,11,11,11,11,,"11,29",1,100,43.81,B3SA3,7/20/2020,EURO,55.35
2092,6/29/2020,B3SAH39,BRB3SA3H03B9,EQUITY CALL,"15,36","15,36","15,36","15,36",,"15,82",1,100,39.39,B3SA3,8/17/2020,AMER,55.35
2113,6/29/2020,B3SAH461,BRB3SA3H03E3,EQUITY CALL,9,9,9,9,,"9,62",1,100,46.14,B3SA3,8/17/2020,EURO,55.35
2119,6/29/2020,B3SAH488,BRB3SA3H03M6,EQUITY CALL,"6,85","6,85","6,85","6,85",,"7,34",1,700,48.89,B3SA3,8/17/2020,AMER,55.35
2124,6/29/2020,B3SAH510,BRB3SA3H04R3,EQUITY CALL,"5,45","5,45","5,45","5,45",,"5,5",1,100,51.39,B3SA3,8/17/2020,AMER,55.35
2126,6/29/2020,B3SAH518,BRB3SA3H04Y9,EQUITY CALL,"4,8",5,"4,9",5,,"5,16",2,4000,51.89,B3SA3,8/17/2020,EURO,55.35
2128,6/29/2020,B3SAH53,BRB3SA3H02V9,EQUITY CALL,"3,99","4,8","4,3","4,8",,"4,83",4,17500,52.39,B3SA3,8/17/2020,AMER,55.35
2129,6/29/2020,B3SAH533,BRB3SA3H0526,EQUITY CALL,"3,56","3,95","3,77","3,88",,"4,22",6,48000,53.39,B3SA3,8/17/2020,AMER,55.35
2131,6/29/2020,B3SAH543,BRB3SA3H04X1,EQUITY CALL,"3,26","3,55","3,34","3,29",,"3,65",3,20100,54.39,B3SA3,8/17/2020,AMER,55.35
2132,6/29/2020,B3SAH548,BRB3SA3H04Q5,EQUITY CALL,"3,11","3,17","3,11","3,17",,"3,38",2,1100,54.89,B3SA3,8/17/2020,EURO,55.35
2133,6/29/2020,B3SAH553,BRB3SA3H0500,EQUITY CALL,"2,6","2,98","2,71","2,9",,"3,13",5,12200,55.39,B3SA3,8/17/2020,AMER,55.35
2134,6/29/2020,B3SAH563,BRB3SA3H04W3,EQUITY CALL,"2,04","2,55","2,21","2,28",,"2,67",28,123000,56.39,B3SA3,8/17/2020,AMER,55.35
2137,6/29/2020,B3SAH573,BRB3SA3H04Z6,EQUITY CALL,"1,74","2,14","1,84","2,14",,"2,25",8,10000,57.39,B3SA3,8/17/2020,AMER,55.35
2139,6/29/2020,B3SAH588,BRB3SA3H0583,EQUITY CALL,"1,56","1,56","1,56","1,56",,"1,72",1,1200,58.89,B3SA3,8/17/2020,EURO,55.35
2142,6/29/2020,B3SAH608,BRB3SA3H0591,EQUITY CALL,1,1,1,1,,"1,16",1,2400,60.89,B3SA3,8/17/2020,EURO,55.35
2143,6/29/2020,B3SAH618,BRB3SA3H05A6,EQUITY CALL,"0,76","0,79","0,77","0,79",,"0,94",2,200,61.89,B3SA3,8/17/2020,EURO,55.35
2250,6/29/2020,B3SAI605,BRB3SA3I05G1,EQUITY CALL,"1,42","1,6","1,42","1,42",,"2,07",3,600000,60.5,B3SA3,9/21/2020,EURO,55.35
2306,6/29/2020,B3SAS14,BRB3SA3S03H3,EQUITY PUT,"0,16","0,18","0,17","0,17",,"0,14",23,335100,44.56,B3SA3,7/20/2020,EURO,55.35
2307,6/29/2020,B3SAS15,BRB3SA3S03D2,EQUITY PUT,"0,25","0,26","0,25","0,26",,"0,19",4,4400,45.56,B3SA3,7/20/2020,EURO,55.35
2308,6/29/2020,B3SAS16,BRB3SA3S0382,EQUITY PUT,"0,28","0,33","0,29","0,28",,"0,25",10,20900,46.56,B3SA3,7/20/2020,EURO,55.35
2309,6/29/2020,B3SAS17,BRB3SA3S0374,EQUITY PUT,"0,36","0,42","0,36","0,37",,"0,33",7,75900,47.56,B3SA3,7/20/2020,EURO,55.35
2311,6/29/2020,B3SAS244,BRB3SA3S02K9,EQUITY PUT,"0,01","0,02","0,01","0,01",,"0,01",10,5000,23.81,B3SA3,7/20/2020,EURO,55.35
2314,6/29/2020,B3SAS300,BRB3SA3S02Q6,EQUITY PUT,"0,02","0,02","0,02","0,02",,"0,01",1,10000,30.06,B3SA3,7/20/2020,EURO,55.35
2324,6/29/2020,B3SAS35,BRB3SA3S03C4,EQUITY PUT,"0,04","0,04","0,04","0,04",,"0,01",2,4000,35.06,B3SA3,7/20/2020,EURO,55.35
2341,6/29/2020,B3SAS45,BRB3SA3S02O1,EQUITY PUT,"0,18","0,26","0,2","0,18",,"0,16",3,1200,45.06,B3SA3,7/20/2020,EURO,55.35
2343,6/29/2020,B3SAS466,BRB3SA3S02I3,EQUITY PUT,"0,24","0,28","0,27","0,28",,"0,22",3,1900,46.06,B3SA3,7/20/2020,EURO,55.35
2345,6/29/2020,B3SAS47,BRB3SA3S0390,EQUITY PUT,"0,32","0,4","0,33","0,32",,"0,29",3,25900,47.06,B3SA3,7/20/2020,EURO,55.35
