,RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
2086,2020-07-09,B3SAG515,BRB3SA3G03Y3,EQUITY CALL,"8,2","8,2","8,2","8,2",,"7,66",1,2400,51.44,B3SA3,2020-07-20,EURO,59.08
2087,2020-07-09,B3SAG520,BRB3SA3G03Z0,EQUITY CALL,"7,15","8,5","7,91","7,15",,"7,2",7,2100,51.94,B3SA3,2020-07-20,AMER,59.08
2088,2020-07-09,B3SAG525,BRB3SA3G0485,EQUITY CALL,"7,95",8,"7,95","7,95",,"6,73",2,1500,52.44,B3SA3,2020-07-20,EURO,59.08
2089,2020-07-09,B3SAG530,BRB3SA3G0410,EQUITY CALL,"5,8","7,55","7,53","5,8",,"6,27",9,264700,52.94,B3SA3,2020-07-20,AMER,59.08
2090,2020-07-09,B3SAG540,BRB3SA3G04D5,EQUITY CALL,5,"5,5","5,39","5,45",,"5,35",5,600,53.94,B3SA3,2020-07-20,AMER,59.08
2092,2020-07-09,B3SAG545,BRB3SA3G02J6,EQUITY CALL,"5,5","7,15","6,58","5,5",,"5,81",5,3700,53.44,B3SA3,2020-07-20,EURO,59.08
2093,2020-07-09,B3SAG550,BRB3SA3G0477,EQUITY CALL,4,"5,5","5,25",4,,"4,45",3,1000,54.94,B3SA3,2020-07-20,AMER,59.08
2095,2020-07-09,B3SAG560,BRB3SA3G0469,EQUITY CALL,"3,08","5,03","4,6","4,13",,"3,59",11,45800,55.94,B3SA3,2020-07-20,AMER,59.08
2096,2020-07-09,B3SAG565,BRB3SA3G0493,EQUITY CALL,"3,5","3,5","3,5","3,5",,"3,18",1,100,56.44,B3SA3,2020-07-20,EURO,59.08
2097,2020-07-09,B3SAG570,BRB3SA3G04C7,EQUITY CALL,"2,75","4,31","3,68","2,75",,"2,78",63,33700,56.94,B3SA3,2020-07-20,AMER,59.08
2098,2020-07-09,B3SAG575,BRB3SA3G04A1,EQUITY CALL,"2,42","4,4","2,53","2,5",,"2,42",22,22700,57.44,B3SA3,2020-07-20,EURO,59.08
2099,2020-07-09,B3SAG580,BRB3SA3G04I4,EQUITY CALL,"1,94","3,27","2,66","2,15",,"2,07",14,30100,57.94,B3SA3,2020-07-20,AMER,59.08
2100,2020-07-09,B3SAG590,BRB3SA3G04G8,EQUITY CALL,"1,37","2,8","2,17","1,54",,"1,48",126,346400,58.94,B3SA3,2020-07-20,AMER,59.08
2102,2020-07-09,B3SAG600,BRB3SA3G04H6,EQUITY CALL,"0,92","2,56","1,41","1,02",,"1,01",132,214500,59.94,B3SA3,2020-07-20,AMER,59.08
2103,2020-07-09,B3SAG610,BRB3SA3G04J2,EQUITY CALL,"0,59","1,47","1,11","0,7",,"0,66",106,255300,60.94,B3SA3,2020-07-20,AMER,59.08
2104,2020-07-09,B3SAG619,BRB3SA3G04M6,EQUITY CALL,"0,39","1,04","0,7","0,43",,"0,42",142,232700,61.94,B3SA3,2020-07-20,AMER,59.08
2105,2020-07-09,B3SAG629,BRB3SA3G04N4,EQUITY CALL,"0,23","0,65","0,41","0,27",,"0,27",91,113400,62.94,B3SA3,2020-07-20,AMER,59.08
2106,2020-07-09,B3SAG639,BRB3SA3G04P9,EQUITY CALL,"0,15","0,32","0,2","0,21",,"0,18",9,11000,63.94,B3SA3,2020-07-20,AMER,59.08
2107,2020-07-09,B3SAG649,BRB3SA3G04K0,EQUITY CALL,"0,1","0,26","0,18","0,1",,"0,13",24,41000,64.94,B3SA3,2020-07-20,AMER,59.08
2109,2020-07-09,B3SAG669,BRB3SA3G04L8,EQUITY CALL,"0,05","0,2","0,1","0,05",,"0,08",18,15700,66.94,B3SA3,2020-07-20,AMER,59.08
2112,2020-07-09,B3SAG9,BRB3SA3G03K2,EQUITY CALL,"15,9","15,9","15,9","15,9",,"15,23",1,1200,43.69,B3SA3,2020-07-20,EURO,59.08
2174,2020-07-09,B3SAH461,BRB3SA3H03E3,EQUITY CALL,"14,4","14,7","14,42","14,4",,"13,16",2,1400,46.02,B3SA3,2020-08-17,EURO,59.08
2193,2020-07-09,B3SAH538,BRB3SA3H04P7,EQUITY CALL,"7,01","7,01","7,01","7,01",,"6,36",1,100,53.77,B3SA3,2020-08-17,EURO,59.08
2196,2020-07-09,B3SAH553,BRB3SA3H0500,EQUITY CALL,"5,4","6,55","6,19","5,4",,"5,25",8,20000,55.27,B3SA3,2020-08-17,AMER,59.08
2197,2020-07-09,B3SAH563,BRB3SA3H04W3,EQUITY CALL,"5,31","5,97","5,37","5,31",,"4,56",2,11000,56.27,B3SA3,2020-08-17,AMER,59.08
2198,2020-07-09,B3SAH565,BRB3SA3H02T3,EQUITY CALL,5,5,5,5,,"4,9",1,3000,55.77,B3SA3,2020-08-17,EURO,59.08
2199,2020-07-09,B3SAH568,BRB3SA3H0518,EQUITY CALL,"4,5","5,2","4,85","4,5",,"4,24",2,200,56.77,B3SA3,2020-08-17,EURO,59.08
2200,2020-07-09,B3SAH573,BRB3SA3H04Z6,EQUITY CALL,"4,51","5,27","5,04","4,51",,"3,92",3,11500,57.27,B3SA3,2020-08-17,AMER,59.08
2201,2020-07-09,B3SAH580,BRB3SA3H05B4,EQUITY CALL,4,"4,35","4,2","4,01",,"3,34",61,23300,58.27,B3SA3,2020-08-17,AMER,59.08
2204,2020-07-09,B3SAH590,BRB3SA3H05E8,EQUITY CALL,"2,73","3,72","3,49","2,87",,"2,82",24,78400,59.27,B3SA3,2020-08-17,AMER,59.08
2205,2020-07-09,B3SAH598,BRB3SA3H0575,EQUITY CALL,"2,85","2,89","2,85","2,85",,"2,57",3,1300,59.77,B3SA3,2020-08-17,EURO,59.08
2207,2020-07-09,B3SAH602,BRB3SA3H05O7,EQUITY CALL,"2,27","3,34","3,09","2,49",,"2,35",9,31500,60.27,B3SA3,2020-08-17,AMER,59.08
2208,2020-07-09,B3SAH608,BRB3SA3H0591,EQUITY CALL,"2,1","2,54","2,26","2,15",,"2,13",10,19600,60.77,B3SA3,2020-08-17,EURO,59.08
2209,2020-07-09,B3SAH612,BRB3SA3H05J7,EQUITY CALL,"1,93","2,61","2,42","1,96",,"1,93",12,27500,61.27,B3SA3,2020-08-17,AMER,59.08
2210,2020-07-09,B3SAH618,BRB3SA3H05A6,EQUITY CALL,"1,8","1,95","1,82","1,8",,"1,75",6,4400,61.77,B3SA3,2020-08-17,EURO,59.08
2211,2020-07-09,B3SAH622,BRB3SA3H05L3,EQUITY CALL,"1,59","2,35","2,25","1,59",,"1,57",19,35000,62.27,B3SA3,2020-08-17,AMER,59.08
2212,2020-07-09,B3SAH627,BRB3SA3H05C2,EQUITY CALL,"1,91",2,"1,95","1,93",,"1,41",10,1000,62.77,B3SA3,2020-08-17,EURO,59.08
2213,2020-07-09,B3SAH632,BRB3SA3H05Q2,EQUITY CALL,"1,35","1,92","1,81","1,35",,"1,27",11,18300,63.27,B3SA3,2020-08-17,AMER,59.08
2214,2020-07-09,B3SAH637,BRB3SA3H05D0,EQUITY CALL,"1,17","1,75","1,2","1,17",,"1,13",4,4800,63.77,B3SA3,2020-08-17,EURO,59.08
2215,2020-07-09,B3SAH642,BRB3SA3H05I9,EQUITY CALL,"1,01","1,54","1,36","1,01",,"1,01",12,16800,64.27,B3SA3,2020-08-17,AMER,59.08
2216,2020-07-09,B3SAH647,BRB3SA3H05G3,EQUITY CALL,"0,93","1,35","1,15","0,93",,"0,89",6,2700,64.77,B3SA3,2020-08-17,EURO,59.08
2217,2020-07-09,B3SAH652,BRB3SA3H05K5,EQUITY CALL,"0,78","1,25","0,97","0,79",,"0,79",7,5600,65.27,B3SA3,2020-08-17,AMER,59.08
2218,2020-07-09,B3SAH657,BRB3SA3H05F5,EQUITY CALL,"0,72",1,"0,92","0,72",,"0,7",13,13600,65.77,B3SA3,2020-08-17,EURO,59.08
2219,2020-07-09,B3SAH662,BRB3SA3H05N9,EQUITY CALL,"0,69","0,69","0,69","0,69",,"0,61",1,100,66.27,B3SA3,2020-08-17,AMER,59.08
2220,2020-07-09,B3SAH667,BRB3SA3H05H1,EQUITY CALL,"0,57","0,84","0,72","0,57",,"0,54",20,35100,66.77,B3SA3,2020-08-17,EURO,59.08
2221,2020-07-09,B3SAH672,BRB3SA3H05R0,EQUITY CALL,"0,52","0,65","0,6","0,52",,"0,47",4,1732500,67.27,B3SA3,2020-08-17,AMER,59.08
2327,2020-07-09,B3SAI578,BRB3SA3I05L1,EQUITY CALL,5,5,5,5,,"4,63",1,300,57.88,B3SA3,2020-09-21,AMER,59.08
2333,2020-07-09,B3SAI608,BRB3SA3I05V0,EQUITY CALL,"3,3","3,8","3,55","3,3",,"3,16",5,15900,60.88,B3SA3,2020-09-21,AMER,59.08
