RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
2020-07-23,AZULU202,BRAZUL4U00R4,EQUITY PUT,"1,65","1,65","1,65","1,65",,"1,02",1,2000,20.25,AZUL4,2020-09-21,EURO,0.0
2020-07-23,AZULU227,BRAZUL4U00S2,EQUITY PUT,"3,8","3,8","3,8","3,8",,"2,49",1,2800,22.75,AZUL4,2020-09-21,EURO,0.0
2020-07-23,B3SAC675,BRB3SA3C0349,EQUITY CALL,8,8,8,8,,"7,44",1,5000,67.5,B3SA3,2021-03-15,EURO,0.0
2020-07-23,B3SAC765,BRB3SA3C0356,EQUITY CALL,3,3,3,3,,"4,3",1,5000,76.5,B3SA3,2021-03-15,EURO,0.0
2020-07-23,B3SAH500,BRB3SA3H04S1,EQUITY CALL,"15,3","15,35","15,34","15,35",,"15,5",2,600,50.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH563,BRB3SA3H04W3,EQUITY CALL,"9,48","9,48","9,48","9,48",,"9,91",1,200,56.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH568,BRB3SA3H0518,EQUITY CALL,"10,3","10,3","10,3","10,3",,"9,46",1,200,56.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAH580,BRB3SA3H05B4,EQUITY CALL,"7,85","8,5","8,17","7,85",,"8,14",2,200,58.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH590,BRB3SA3H05E8,EQUITY CALL,7,"8,2","8,19",7,,"7,28",2,14700,59.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH602,BRB3SA3H05O7,EQUITY CALL,"6,37","6,37","6,37","6,37",,"6,46",1,500,60.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH608,BRB3SA3H0591,EQUITY CALL,"5,49","7,4","7,23","5,49",,"6,07",5,5700,60.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAH612,BRB3SA3H05J7,EQUITY CALL,"5,28","6,74","5,44","5,29",,"5,68",4,900,61.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH622,BRB3SA3H05L3,EQUITY CALL,"4,61","4,61","4,61","4,61",,"4,94",1,100,62.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH627,BRB3SA3H05C2,EQUITY CALL,"4,01","4,59","4,42","4,01",,"4,6",4,3400,62.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAH632,BRB3SA3H05Q2,EQUITY CALL,"3,76","3,76","3,76","3,76",,"4,26",1,100,63.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH637,BRB3SA3H05D0,EQUITY CALL,"3,51","4,55","4,47","3,51",,"3,94",3,3400,63.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAH642,BRB3SA3H05I9,EQUITY CALL,"3,4","4,84","3,58","3,4",,"3,63",3,1100,64.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH652,BRB3SA3H05K5,EQUITY CALL,"2,84","3,91","3,04","2,95",,"3,07",158,510900,65.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH657,BRB3SA3H05F5,EQUITY CALL,"2,7","3,75","3,32","2,7",,"2,81",8,2900,65.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAH662,BRB3SA3H05N9,EQUITY CALL,"2,49","3,5","3,07","2,49",,"2,56",32,156700,66.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH667,BRB3SA3H05H1,EQUITY CALL,"2,21","3,22","2,53","2,26",,"2,33",49,48100,66.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAH672,BRB3SA3H05R0,EQUITY CALL,"1,93","2,95","2,53",2,,"2,12",82,325300,67.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH682,BRB3SA3H05T6,EQUITY CALL,"1,5","2,43","2,13","1,62",,"1,74",51,187600,68.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH692,BRB3SA3H05U4,EQUITY CALL,"1,2",2,"1,62","1,29",,"1,42",97,129700,69.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH702,BRB3SA3H0617,EQUITY CALL,"0,97","1,61","1,17","1,04",,"1,15",28,83400,70.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH712,BRB3SA3H0609,EQUITY CALL,"0,8","1,26","1,04","0,81",,"0,92",15,24400,71.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH722,BRB3SA3H0625,EQUITY CALL,"0,58",1,"0,8","0,73",,"0,74",26,57200,72.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH732,BRB3SA3H05W0,EQUITY CALL,"0,51","0,77","0,63","0,53",,"0,6",23,15100,73.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH742,BRB3SA3H05Y6,EQUITY CALL,"0,4","0,65","0,48","0,42",,"0,48",16,7700,74.27,B3SA3,2020-08-17,AMER,0.0
