Asst,OptnTp,TradgEndDt,TckrSymb,OptnStyle,ExrcPric,,9/21/2020,8/17/2020,7/20/2020,Asst,Cotação,7/20/2020,8/17/2020,9/21/2020,
ARZZ3,Call,12/17/2021,ARZZL65,AMER,65,,,,,,,,,,
ARZZ3,Call,12/17/2021,ARZZL66,AMER,66,,,,,,,,,,
ARZZ3,Call,12/17/2021,ARZZL67,AMER,67,,,,,,,,,,
ARZZ3,Call,12/17/2021,ARZZL68,AMER,68,,,,,,,,,,
ARZZ3,Call,12/17/2021,ARZZL69,AMER,69,,,,,,,,,,
ARZZ3,Call,12/17/2021,ARZZL70,AMER,70,,,,,,,,,,
ARZZ3,Call,12/17/2021,ARZZL71,AMER,71,,,,,,,,,,
ARZZ3,Put,7/20/2020,ARZZS310,EURO,31,,,,,,,,,,
ARZZ3,Put,7/20/2020,ARZZS33,EURO,33,,,,,,,,,,
ARZZ3,Put,7/20/2020,ARZZS35,EURO,35,,,,,,,,,,
ARZZ3,Put,7/20/2020,ARZZS37,EURO,37,,,,,,,,,,
ARZZ3,Put,7/20/2020,ARZZS42,EURO,42,,,,,,,,,,
ARZZ3,Put,7/20/2020,ARZZS44,EURO,44,,,,,,,,,,
ARZZ3,Put,7/20/2020,ARZZS46,EURO,46,,,,,,,,,,
ARZZ3,Put,7/20/2020,ARZZS48,EURO,48,,,,,,,,,,
ARZZ3,Put,7/20/2020,ARZZS500,EURO,50,,,,,,,,,,
ARZZ3,Put,7/20/2020,ARZZS520,EURO,52,,,,,,,,,,
ARZZ3,Put,7/20/2020,ARZZS540,EURO,54,,,,,,,,,,
ARZZ3,Put,7/20/2020,ARZZS560,EURO,56,,,,,,,,,,
ARZZ3,Put,8/17/2020,ARZZT340,EURO,34,,,,,,,,,,
ARZZ3,Put,8/17/2020,ARZZT350,EURO,35,,,,,,,,,,
ARZZ3,Put,8/17/2020,ARZZT360,EURO,36,,,,,,,,,,
ARZZ3,Put,8/17/2020,ARZZT370,EURO,37,,,,,,,,,,
ARZZ3,Put,8/17/2020,ARZZT380,EURO,38,,,,,,,,,,
ARZZ3,Put,8/17/2020,ARZZT390,EURO,39,,,,,,,,,,
ARZZ3,Put,8/17/2020,ARZZT400,EURO,40,,,,,,,,,,
ARZZ3,Put,8/17/2020,ARZZT410,EURO,41,,,,,,,,,,
ARZZ3,Put,8/17/2020,ARZZT420,EURO,42,,,,,,,,,,
ARZZ3,Put,8/17/2020,ARZZT430,EURO,43,,,,,,,,,,
ARZZ3,Put,8/17/2020,ARZZT440,EURO,44,,,,,,,,,,
ARZZ3,Put,8/17/2020,ARZZT450,EURO,45,,,,,,,,,,
ARZZ3,Put,8/17/2020,ARZZT480,EURO,48,,,,,,,,,,
